key,value,comment_zh
midlevel.rhythm.bpm_histogram_second_peak_spread,0.00000000,BPM 直方图第二峰值扩散度
midlevel.rhythm.bpm_histogram_second_peak_weight,0.00000000,BPM 直方图第二峰值权重
midlevel.rhythm.bpm_intervals,,BPM 间隔序列
midlevel.rhythm.confidence,0.00000000,BPM 置信度
midlevel.rhythm.danceability,0.73314452,舞动性（Danceability，基于 DFA 的节奏稳定性度量）
midlevel.rhythm.dfa,1.22751296;1.15821016;1.10897088;1.07750201;1.06505764;1.06420720;1.07390320;1.09052896;1.11073530;1.13239717;1.15461004;1.17887282;1.41715300;1.22623110;1.26797867;1.32442141;1.59391499;1.51743722;1.74895632;2.22449493;2.88064504;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,DFA 序列（用于舞动性计算的分形/标度特征）
midlevel.tonal.chords_changes_rate,0.14545454,和弦变化率（单位时间内和弦变化的频繁程度）
midlevel.tonal.chords_histogram,7.27272749;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;92.72727203;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,和弦直方图（和弦类别分布）
midlevel.tonal.chords_key,F,和弦主调（chords_key）
midlevel.tonal.chords_number_rate,0.03636364,和弦数量率（不同和弦出现的相对速率）
midlevel.tonal.chords_progression,,和弦进行序列（按时间顺序）
midlevel.tonal.chords_scale,minor,和弦音阶类型（大/小等，chords_scale）
midlevel.tonal.chords_strength,0.37833017;0.37834615;0.37836134;0.37837535;0.37838849;0.37840059;0.37841234;0.37842312;0.37843320;0.37844300;0.37845242;0.37846136;0.37846935;0.37847725;0.37848485;0.37849233;0.37849885;0.37850538;0.37851131;0.37851766;0.37852326;0.37852886;0.37856138;0.37859720;0.37862441;0.37864581;0.37866187;0.37867478;0.37868488;0.37869340;0.37870064;0.37870687;0.37871253;0.37871996;0.37872306;0.37872598;0.37872890;0.37873179;0.37873408;0.37873650;0.37873876;0.37874037;0.37874243;0.37874427;0.37874624;0.37874773;0.37874928;0.37875062;0.37875238;0.37875363;0.37875444;0.37875602;0.37875691;0.37875819;0.37875947,和弦置信强度序列（每个时间帧）
midlevel.tonal.key,F,调性主音（key_key）
midlevel.tonal.key_strength,0.63197470,调性强度（key_strength）
midlevel.tonal.scale,major,调式（大调/小调，key_scale）
