变量名,中文解释,单位/范围,备注
lowlevel.barkbands_spread.dvar,"Bark spread 一阶差分方差","同上","变化不稳定程度"
lowlevel.barkbands_spread.dvar2,"Bark spread 二阶差分方差","同上","变化加速度不稳定程度"
lowlevel.barkbands_spread.max,"Bark spread 最大值","同上","能量最分散的时刻"
lowlevel.barkbands_spread.mean,"Bark spread 均值","同上","整体分散程度"
lowlevel.barkbands_spread.median,"Bark spread 中位数","同上","鲁棒中心趋势"
lowlevel.barkbands_spread.min,"Bark spread 最小值","同上","能量最集中时刻"
lowlevel.barkbands_spread.stdev,"Bark spread 标准差","同上","随时间波动"
lowlevel.barkbands_spread.var,"Bark spread 方差","同上","=stdev^2"
lowlevel.dissonance.dmean,"不协和度（dissonance）一阶差分均值",0~0.5（常见范围）/统计量,"基于谱峰之间的粗糙度/拍频模型；越大越“刺耳/紧张”"
lowlevel.dissonance.dmean2,"不协和度二阶差分均值",同上,"变化加速度"
lowlevel.dissonance.dvar,"不协和度一阶差分方差",同上,"变化不稳定程度"
lowlevel.dissonance.dvar2,"不协和度二阶差分方差",同上,"变化加速度不稳定程度"
lowlevel.dissonance.max,"不协和度最大值",同上,"最不协和的时刻"
lowlevel.dissonance.mean,"不协和度均值",同上,"整体不协和程度"
lowlevel.dissonance.median,"不协和度中位数",同上,"鲁棒中心趋势"
lowlevel.dissonance.min,"不协和度最小值",同上,"最协和的时刻"
lowlevel.dissonance.stdev,"不协和度标准差",同上,"随时间波动"
lowlevel.dissonance.var,"不协和度方差",同上,"=stdev^2"
lowlevel.dynamic_complexity,"动态复杂度（Dynamic Complexity）：综合描述响度动态起伏与对比强度",无量纲/相对值,"越大通常表示强弱对比更明显、动态更“复杂”"
lowlevel.erbbands_crest.dmean,"ERB（等效矩形带宽）频带 crest 因子一阶差分均值",无量纲/统计量,"与 barkbands_crest 同义但频带划分不同（更接近听觉分辨率）"
lowlevel.erbbands_crest.dmean2,"ERB crest 二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.erbbands_crest.dvar,"ERB crest 一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.erbbands_crest.dvar2,"ERB crest 二阶差分方差",无量纲/统计量,"变化加速度不稳定"
lowlevel.erbbands_crest.max,"ERB crest 最大值",无量纲/统计量,"最大瞬态尖锐度"
lowlevel.erbbands_crest.mean,"ERB crest 均值",无量纲/统计量,"整体瞬态倾向"
lowlevel.erbbands_crest.median,"ERB crest 中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.erbbands_crest.min,"ERB crest 最小值",无量纲/统计量,"最平稳时刻"
lowlevel.erbbands_crest.stdev,"ERB crest 标准差",无量纲/统计量,"随时间波动"
lowlevel.erbbands_crest.var,"ERB crest 方差",无量纲/统计量,"=stdev^2"
lowlevel.erbbands_flatness_db.dmean,"ERB 频带平坦度（dB）一阶差分均值","dB/统计量","噪声化程度的变化速度"
lowlevel.erbbands_flatness_db.dmean2,"ERB 平坦度（dB）二阶差分均值","dB/统计量","变化加速度"
lowlevel.erbbands_flatness_db.dvar,"ERB 平坦度（dB）一阶差分方差","dB^2/统计量","变化不稳定"
lowlevel.erbbands_flatness_db.dvar2,"ERB 平坦度（dB）二阶差分方差","dB^2/统计量","变化加速度不稳定"
lowlevel.erbbands_flatness_db.max,"ERB 平坦度（dB）最大值","dB/统计量","最噪声化时刻"
lowlevel.erbbands_flatness_db.mean,"ERB 平坦度（dB）均值","dB/统计量","整体噪声化程度"
lowlevel.erbbands_flatness_db.median,"ERB 平坦度（dB）中位数","dB/统计量","鲁棒中心趋势"
lowlevel.erbbands_flatness_db.min,"ERB 平坦度（dB）最小值","dB/统计量","最谐波化时刻"
lowlevel.erbbands_flatness_db.stdev,"ERB 平坦度（dB）标准差","dB/统计量","随时间波动"
lowlevel.erbbands_flatness_db.var,"ERB 平坦度（dB）方差","dB^2/统计量","=stdev^2"
lowlevel.erbbands_kurtosis.dmean,"ERB 频带分布峰度一阶差分均值",无量纲/统计量,"分布尖峭程度的变化速度"
lowlevel.erbbands_kurtosis.dmean2,"ERB 峰度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.erbbands_kurtosis.dvar,"ERB 峰度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.erbbands_kurtosis.dvar2,"ERB 峰度二阶差分方差",无量纲/统计量,"变化加速度不稳定"
lowlevel.erbbands_kurtosis.max,"ERB 峰度最大值",无量纲/统计量,"极端尖峰分布时刻"
lowlevel.erbbands_kurtosis.mean,"ERB 峰度均值",无量纲/统计量,"整体尖峭程度"
lowlevel.erbbands_kurtosis.median,"ERB 峰度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.erbbands_kurtosis.min,"ERB 峰度最小值",无量纲/统计量,"更平坦/甚至负峰度"
lowlevel.erbbands_kurtosis.stdev,"ERB 峰度标准差",无量纲/统计量,"随时间波动"
lowlevel.erbbands_kurtosis.var,"ERB 峰度方差",无量纲/统计量,"=stdev^2"
lowlevel.erbbands_skewness.dmean,"ERB 频带分布偏度一阶差分均值",无量纲/统计量,"不对称性的变化速度"
lowlevel.erbbands_skewness.dmean2,"ERB 偏度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.erbbands_skewness.dvar,"ERB 偏度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.erbbands_skewness.dvar2,"ERB 偏度二阶差分方差",无量纲/统计量,"变化加速度不稳定"
lowlevel.erbbands_skewness.max,"ERB 偏度最大值",无量纲/统计量,"最大偏斜时刻"
lowlevel.erbbands_skewness.mean,"ERB 偏度均值",无量纲/统计量,"整体偏斜趋势"
lowlevel.erbbands_skewness.median,"ERB 偏度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.erbbands_skewness.min,"ERB 偏度最小值",无量纲/统计量,"最强反向偏斜"
lowlevel.erbbands_skewness.stdev,"ERB 偏度标准差",无量纲/统计量,"随时间波动"
lowlevel.erbbands_skewness.var,"ERB 偏度方差",无量纲/统计量,"=stdev^2"
lowlevel.erbbands_spread.dmean,"ERB 频带谱扩展一阶差分均值","Hz 或频带索引的统计量（实现相关）","能量分散程度的变化速度"
lowlevel.erbbands_spread.dmean2,"ERB spread 二阶差分均值","同上","变化加速度"
lowlevel.erbbands_spread.dvar,"ERB spread 一阶差分方差","同上","变化不稳定"
lowlevel.erbbands_spread.dvar2,"ERB spread 二阶差分方差","同上","变化加速度不稳定"
lowlevel.erbbands_spread.max,"ERB spread 最大值","同上","最分散时刻"
lowlevel.erbbands_spread.mean,"ERB spread 均值","同上","整体分散程度"
lowlevel.erbbands_spread.median,"ERB spread 中位数","同上","鲁棒中心趋势"
lowlevel.erbbands_spread.min,"ERB spread 最小值","同上","最集中时刻"
lowlevel.erbbands_spread.stdev,"ERB spread 标准差","同上","随时间波动"
lowlevel.erbbands_spread.var,"ERB spread 方差","同上","=stdev^2"
lowlevel.hfc.dmean,"高频含量（HFC, High Frequency Content）一阶差分均值",无量纲/统计量,"衡量高频能量与亮度；差分表示亮度变化速度"
lowlevel.hfc.dmean2,"HFC 二阶差分均值",无量纲/统计量,"亮度变化加速度"
lowlevel.hfc.dvar,"HFC 一阶差分方差",无量纲/统计量,"亮度变化不稳定程度"
lowlevel.hfc.dvar2,"HFC 二阶差分方差",无量纲/统计量,"亮度变化加速度不稳定程度"
lowlevel.hfc.max,"HFC 最大值",无量纲/统计量,"最“亮/尖”时刻"
lowlevel.hfc.mean,"HFC 均值",无量纲/统计量,"整体亮度"
lowlevel.hfc.median,"HFC 中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.hfc.min,"HFC 最小值",无量纲/统计量,"最暗/高频最少时刻"
lowlevel.hfc.stdev,"HFC 标准差",无量纲/统计量,"随时间波动"
lowlevel.hfc.var,"HFC 方差",无量纲/统计量,"=stdev^2"
lowlevel.loudness_ebu128.integrated,"EBU R128 综合响度（Integrated Loudness）",LUFS,"更接近人耳主观响度；常用于响度标准化"
lowlevel.loudness_ebu128.loudness_range,"EBU R128 响度范围（LRA）",LU,"描述整体动态范围（响度随时间的跨度）"
lowlevel.loudness_ebu128.momentary.dmean,"瞬时响度（Momentary, ~400ms 窗）一阶差分均值","LUFS/统计量","响度变化速度"
lowlevel.loudness_ebu128.momentary.dmean2,"瞬时响度二阶差分均值","LUFS/统计量","响度变化加速度"
lowlevel.loudness_ebu128.momentary.dvar,"瞬时响度一阶差分方差","(LUFS)^2/统计量","变化不稳定"
lowlevel.loudness_ebu128.momentary.dvar2,"瞬时响度二阶差分方差","(LUFS)^2/统计量","加速度不稳定"
lowlevel.loudness_ebu128.momentary.max,"瞬时响度最大值",LUFS,"最响的短时片段"
lowlevel.loudness_ebu128.momentary.mean,"瞬时响度均值",LUFS,"对全曲瞬时响度取平均"
lowlevel.loudness_ebu128.momentary.median,"瞬时响度中位数",LUFS,"鲁棒中心趋势"
lowlevel.loudness_ebu128.momentary.min,"瞬时响度最小值",LUFS,"极静音/门限处理可能导致极小值"
lowlevel.loudness_ebu128.momentary.stdev,"瞬时响度标准差",LUFS,"随时间波动"
lowlevel.loudness_ebu128.momentary.var,"瞬时响度方差",(LUFS)^2,"=stdev^2"
lowlevel.loudness_ebu128.short_term.dmean,"短时响度（Short-term, ~3s 窗）一阶差分均值","LUFS/统计量","更平滑的响度变化速度"
lowlevel.loudness_ebu128.short_term.dmean2,"短时响度二阶差分均值","LUFS/统计量","变化加速度"
lowlevel.loudness_ebu128.short_term.dvar,"短时响度一阶差分方差","(LUFS)^2/统计量","变化不稳定"
lowlevel.loudness_ebu128.short_term.dvar2,"短时响度二阶差分方差","(LUFS)^2/统计量","加速度不稳定"
lowlevel.loudness_ebu128.short_term.max,"短时响度最大值",LUFS,"最响的约 3 秒片段"
lowlevel.loudness_ebu128.short_term.mean,"短时响度均值",LUFS,"整体短时响度水平"
lowlevel.loudness_ebu128.short_term.median,"短时响度中位数",LUFS,"鲁棒中心趋势"
lowlevel.loudness_ebu128.short_term.min,"短时响度最小值",LUFS,"最静的约 3 秒片段"
lowlevel.loudness_ebu128.short_term.stdev,"短时响度标准差",LUFS,"随时间波动"
lowlevel.loudness_ebu128.short_term.var,"短时响度方差",(LUFS)^2,"=stdev^2"
lowlevel.melbands_crest.dmean,"Mel 频带 crest 因子一阶差分均值",无量纲/统计量,"mel 频带划分更贴近音高感知的非线性刻度"
lowlevel.melbands_crest.dmean2,"Mel crest 二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.melbands_crest.dvar,"Mel crest 一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.melbands_crest.dvar2,"Mel crest 二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.melbands_crest.max,"Mel crest 最大值",无量纲/统计量,"最大瞬态尖锐度"
lowlevel.melbands_crest.mean,"Mel crest 均值",无量纲/统计量,"整体瞬态倾向"
lowlevel.melbands_crest.median,"Mel crest 中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.melbands_crest.min,"Mel crest 最小值",无量纲/统计量,"最平稳时刻"
lowlevel.melbands_crest.stdev,"Mel crest 标准差",无量纲/统计量,"随时间波动"
lowlevel.melbands_crest.var,"Mel crest 方差",无量纲/统计量,"=stdev^2"
lowlevel.melbands_flatness_db.dmean,"Mel 频带平坦度（dB）一阶差分均值","dB/统计量","噪声化程度变化速度"
lowlevel.melbands_flatness_db.dmean2,"Mel 平坦度（dB）二阶差分均值","dB/统计量","变化加速度"
lowlevel.melbands_flatness_db.dvar,"Mel 平坦度（dB）一阶差分方差","dB^2/统计量","变化不稳定"
lowlevel.melbands_flatness_db.dvar2,"Mel 平坦度（dB）二阶差分方差","dB^2/统计量","加速度不稳定"
lowlevel.melbands_flatness_db.max,"Mel 平坦度（dB）最大值","dB/统计量","最噪声化时刻"
lowlevel.melbands_flatness_db.mean,"Mel 平坦度（dB）均值","dB/统计量","整体噪声化程度"
lowlevel.melbands_flatness_db.median,"Mel 平坦度（dB）中位数","dB/统计量","鲁棒中心趋势"
lowlevel.melbands_flatness_db.min,"Mel 平坦度（dB）最小值","dB/统计量","最谐波化时刻"
lowlevel.melbands_flatness_db.stdev,"Mel 平坦度（dB）标准差","dB/统计量","随时间波动"
lowlevel.melbands_flatness_db.var,"Mel 平坦度（dB）方差","dB^2/统计量","=stdev^2"
lowlevel.melbands_kurtosis.dmean,"Mel 频带分布峰度一阶差分均值",无量纲/统计量,"分布尖峭程度变化速度"
lowlevel.melbands_kurtosis.dmean2,"Mel 峰度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.melbands_kurtosis.dvar,"Mel 峰度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.melbands_kurtosis.dvar2,"Mel 峰度二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.melbands_kurtosis.max,"Mel 峰度最大值",无量纲/统计量,"极端尖峰分布时刻"
lowlevel.melbands_kurtosis.mean,"Mel 峰度均值",无量纲/统计量,"整体尖峭程度"
lowlevel.melbands_kurtosis.median,"Mel 峰度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.melbands_kurtosis.min,"Mel 峰度最小值",无量纲/统计量,"更平坦/甚至负峰度"
lowlevel.melbands_kurtosis.stdev,"Mel 峰度标准差",无量纲/统计量,"随时间波动"
lowlevel.melbands_kurtosis.var,"Mel 峰度方差",无量纲/统计量,"=stdev^2"
lowlevel.melbands_skewness.dmean,"Mel 频带分布偏度一阶差分均值",无量纲/统计量,"不对称性的变化速度"
lowlevel.melbands_skewness.dmean2,"Mel 偏度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.melbands_skewness.dvar,"Mel 偏度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.melbands_skewness.dvar2,"Mel 偏度二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.melbands_skewness.max,"Mel 偏度最大值",无量纲/统计量,"最大偏斜"
lowlevel.melbands_skewness.mean,"Mel 偏度均值",无量纲/统计量,"整体偏斜趋势"
lowlevel.melbands_skewness.median,"Mel 偏度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.melbands_skewness.min,"Mel 偏度最小值",无量纲/统计量,"最强反向偏斜"
lowlevel.melbands_skewness.stdev,"Mel 偏度标准差",无量纲/统计量,"随时间波动"
lowlevel.melbands_skewness.var,"Mel 偏度方差",无量纲/统计量,"=stdev^2"
lowlevel.melbands_spread.dmean,"Mel 频带谱扩展一阶差分均值","Hz 或频带索引的统计量（实现相关）","能量分散程度变化速度"
lowlevel.melbands_spread.dmean2,"Mel spread 二阶差分均值","同上","变化加速度"
lowlevel.melbands_spread.dvar,"Mel spread 一阶差分方差","同上","变化不稳定"
lowlevel.melbands_spread.dvar2,"Mel spread 二阶差分方差","同上","加速度不稳定"
lowlevel.melbands_spread.max,"Mel spread 最大值","同上","最分散时刻"
lowlevel.melbands_spread.mean,"Mel spread 均值","同上","整体分散程度"
lowlevel.melbands_spread.median,"Mel spread 中位数","同上","鲁棒中心趋势"
lowlevel.melbands_spread.min,"Mel spread 最小值","同上","最集中时刻"
lowlevel.melbands_spread.stdev,"Mel spread 标准差","同上","随时间波动"
lowlevel.melbands_spread.var,"Mel spread 方差","同上","=stdev^2"
lowlevel.pitch_salience.dmean,"音高显著性（Pitch Salience）一阶差分均值",0~1/统计量,"衡量“主导音高/基频”是否清晰突出；越高越易感知音高"
lowlevel.pitch_salience.dmean2,"音高显著性二阶差分均值",0~1/统计量,"变化加速度"
lowlevel.pitch_salience.dvar,"音高显著性一阶差分方差",0~1/统计量,"变化不稳定"
lowlevel.pitch_salience.dvar2,"音高显著性二阶差分方差",0~1/统计量,"加速度不稳定"
lowlevel.pitch_salience.max,"音高显著性最大值",0~1,"最“音高清晰”时刻"
lowlevel.pitch_salience.mean,"音高显著性均值",0~1,"整体音高清晰度"
lowlevel.pitch_salience.median,"音高显著性中位数",0~1,"鲁棒中心趋势"
lowlevel.pitch_salience.min,"音高显著性最小值",0~1,"最不具确定音高（更噪声/和弦复杂）时刻"
lowlevel.pitch_salience.stdev,"音高显著性标准差",0~1,"随时间波动"
lowlevel.pitch_salience.var,"音高显著性方差",0~1,"=stdev^2"
lowlevel.silence_rate_20dB.dmean,"静音率（阈值 20dB）一阶差分均值",0~1/统计量,"在每帧内低于阈值的比例；越高表示越“安静/稀疏”（注意此处均值接近 1 表示多数帧被判为静音/低于阈值）"
lowlevel.silence_rate_20dB.dmean2,"静音率（20dB）二阶差分均值",0~1/统计量,"变化加速度"
lowlevel.silence_rate_20dB.dvar,"静音率（20dB）一阶差分方差",0~1/统计量,"变化不稳定"
lowlevel.silence_rate_20dB.dvar2,"静音率（20dB）二阶差分方差",0~1/统计量,"加速度不稳定"
lowlevel.silence_rate_20dB.max,"静音率（20dB）最大值",0~1,"=1 表示该帧完全低于阈值"
lowlevel.silence_rate_20dB.mean,"静音率（20dB）均值",0~1,"整体“低于阈值”的比例"
lowlevel.silence_rate_20dB.median,"静音率（20dB）中位数",0~1,"鲁棒中心趋势"
lowlevel.silence_rate_20dB.min,"静音率（20dB）最小值",0~1,"=0 表示该帧完全高于阈值"
lowlevel.silence_rate_20dB.stdev,"静音率（20dB）标准差",0~1,"随时间波动"
lowlevel.silence_rate_20dB.var,"静音率（20dB）方差",0~1,"=stdev^2"
lowlevel.silence_rate_30dB.dmean,"静音率（阈值 30dB）一阶差分均值",0~1/统计量,"阈值更严格（更容易判静音），用于刻画更安静区段"
lowlevel.silence_rate_30dB.dmean2,"静音率（30dB）二阶差分均值",0~1/统计量,"变化加速度"
lowlevel.silence_rate_30dB.dvar,"静音率（30dB）一阶差分方差",0~1/统计量,"变化不稳定"
lowlevel.silence_rate_30dB.dvar2,"静音率（30dB）二阶差分方差",0~1/统计量,"加速度不稳定"
lowlevel.silence_rate_30dB.max,"静音率（30dB）最大值",0~1,"=1 表示该帧完全低于阈值"
lowlevel.silence_rate_30dB.mean,"静音率（30dB）均值",0~1,"整体低于 30dB 阈值的比例"
lowlevel.silence_rate_30dB.median,"静音率（30dB）中位数",0~1,"鲁棒中心趋势"
lowlevel.silence_rate_30dB.min,"静音率（30dB）最小值",0~1,"=0 表示该帧完全高于阈值"
lowlevel.silence_rate_30dB.stdev,"静音率（30dB）标准差",0~1,"随时间波动"
lowlevel.silence_rate_30dB.var,"静音率（30dB）方差",0~1,"=stdev^2"
lowlevel.silence_rate_60dB.dmean,"静音率（阈值 60dB）一阶差分均值",0~1/统计量,"阈值更低（更不容易判静音），用于刻画极弱音/底噪以下片段"
lowlevel.silence_rate_60dB.dmean2,"静音率（60dB）二阶差分均值",0~1/统计量,"变化加速度"
lowlevel.silence_rate_60dB.dvar,"静音率（60dB）一阶差分方差",0~1/统计量,"变化不稳定"
lowlevel.silence_rate_60dB.dvar2,"静音率（60dB）二阶差分方差",0~1/统计量,"加速度不稳定"
lowlevel.silence_rate_60dB.max,"静音率（60dB）最大值",0~1,"=1 表示该帧完全低于阈值"
lowlevel.silence_rate_60dB.mean,"静音率（60dB）均值",0~1,"整体低于 60dB 阈值的比例"
lowlevel.silence_rate_60dB.median,"静音率（60dB）中位数",0~1,"鲁棒中心趋势"
lowlevel.silence_rate_60dB.min,"静音率（60dB）最小值",0~1,"=0 表示该帧完全高于阈值"
lowlevel.silence_rate_60dB.stdev,"静音率（60dB）标准差",0~1,"随时间波动"
lowlevel.silence_rate_60dB.var,"静音率（60dB）方差",0~1,"=stdev^2"
lowlevel.spectral_centroid.dmean,"谱质心（Spectral Centroid）一阶差分均值",Hz/统计量,"谱质心是“亮度/重心频率”；越高越亮"
lowlevel.spectral_centroid.dmean2,"谱质心二阶差分均值",Hz/统计量,"亮度变化加速度"
lowlevel.spectral_centroid.dvar,"谱质心一阶差分方差",(Hz)^2/统计量,"变化不稳定"
lowlevel.spectral_centroid.dvar2,"谱质心二阶差分方差",(Hz)^2/统计量,"加速度不稳定"
lowlevel.spectral_centroid.max,"谱质心最大值",Hz,"最亮时刻"
lowlevel.spectral_centroid.mean,"谱质心均值",Hz,"整体亮度水平"
lowlevel.spectral_centroid.median,"谱质心中位数",Hz,"鲁棒中心趋势"
lowlevel.spectral_centroid.min,"谱质心最小值",Hz,"最暗时刻"
lowlevel.spectral_centroid.stdev,"谱质心标准差",Hz,"随时间波动"
lowlevel.spectral_centroid.var,"谱质心方差",(Hz)^2,"=stdev^2"
lowlevel.spectral_complexity.dmean,"谱复杂度（Spectral Complexity）一阶差分均值",无量纲/统计量,"常以显著谱峰数或结构复杂度近似；越高表示频谱结构更复杂"
lowlevel.spectral_complexity.dmean2,"谱复杂度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_complexity.dvar,"谱复杂度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_complexity.dvar2,"谱复杂度二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_complexity.max,"谱复杂度最大值",无量纲/统计量,"结构最复杂时刻"
lowlevel.spectral_complexity.mean,"谱复杂度均值",无量纲/统计量,"整体复杂度"
lowlevel.spectral_complexity.median,"谱复杂度中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_complexity.min,"谱复杂度最小值",无量纲/统计量,"结构最简单时刻"
lowlevel.spectral_complexity.stdev,"谱复杂度标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_complexity.var,"谱复杂度方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_decrease.dmean,"谱衰减（Spectral Decrease）一阶差分均值",无量纲/统计量,"描述高频相对低频的衰减趋势；更负通常高频衰减更明显"
lowlevel.spectral_decrease.dmean2,"谱衰减二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_decrease.dvar,"谱衰减一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_decrease.dvar2,"谱衰减二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_decrease.max,"谱衰减最大值",无量纲/统计量,"最弱衰减/甚至上扬的时刻（实现相关）"
lowlevel.spectral_decrease.mean,"谱衰减均值",无量纲/统计量,"整体高频衰减趋势"
lowlevel.spectral_decrease.median,"谱衰减中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_decrease.min,"谱衰减最小值",无量纲/统计量,"高频衰减最强时刻"
lowlevel.spectral_decrease.stdev,"谱衰减标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_decrease.var,"谱衰减方差",无量纲/统计量,"=stdev^2"
